Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000180861268158104,-0.00100669926593326,-0.0180191600373319,0,0,0,0.222069356338279,0.00013051726595754,-2.0277869957056E-08,-4.1117912329963E-07,0.000241825516008572,-1.51165378024847E-06,0.000330666767704576,0,0,0,0,0,0,package://bluebody-urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://bluebody-urdf/meshes/base_link.STL,,link0-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link11,0.035786,0.0035381,-6.6449E-10,0,0,0,0.016042,2.4887E-06,-2.6602E-07,1.8107E-12,1.1113E-05,4.3937E-13,9.1187E-06,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link11.STL,1,1,1,1,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link11.STL,,link1-1,Coordinate System2,Axis1 <link1-1>,Joint11,revolute,0.0279,-0.0395,-0.040325,-1.5708,0.91672,-1.5708,base_link,0,0,-1,100,100,-1.57,1.57,,,,,,,,
Link21,0.011917746161099,0,-3.46944695195361E-18,0,0,0,0.00283590714079142,1.58449114328455E-07,7.79609012019864E-24,-3.34408676099018E-23,2.69919583243166E-07,-1.64063470125521E-24,1.38027104044294E-07,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link21.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link21.STL,,link2-1,Coordinate System8,Axis1 <link2-1>,Joint21,revolute,0.08,0.004,0,0,0,0.65408,Link11,0,0,-1,100,100,-1.57,1.57,,,,,,,,
Link31,0.042,-8.4049715728951E-09,0.0299999999999999,0,0,0,0.0115483860896403,5.72454936139628E-06,5.75925533464974E-22,-6.05605579279737E-06,1.2540943263813E-05,3.08589497421942E-22,6.99727115654008E-06,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link31.STL,1,1,1,1,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link31.STL,,link3-1,Coordinate System14,Axis1 <link3-1>,Joint31,revolute,0.02,0,-0.0088,-1.5708,-0.019302,0,Link21,0,0,-1,100,100,-1.57,1.57,,,,,,,,
Link32,0.0419999999999999,-8.40497158677289E-09,0.0299999999999993,0,0,0,0.0115483860896402,5.72454936139627E-06,2.52128692548194E-22,-6.05605579279737E-06,1.2540943263813E-05,3.59566728313748E-22,6.99727115654007E-06,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link32.STL,1,1,1,1,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link32.STL,,link3-2,Coordinate System15,Axis2 <link3-2>,Joint32,revolute,0.02,0,0.0088,-1.5708,-0.019302,0,Link21,0,0,1,100,100,-1.57,1.57,,,,,,,,
Link12,0.035786303083496,0.00353814176687808,-6.64347413940978E-10,0,0,0,0.0160417853284633,2.48870685848507E-06,-2.66018885577182E-07,1.81077650390522E-12,1.11130612289628E-05,4.39373223528688E-13,9.11871591476064E-06,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link12.STL,1,1,1,1,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link12.STL,,link1-2,Coordinate System3,Axis1 <link1-2>,Joint12,revolute,0.067,-0.0004,-0.040325,-1.5708,0.91639,0,base_link,0,0,-1,100,100,-1.57,1.57,,,,,,,,
Link22,0.011917746161099,1.38777878078145E-17,-4.33680868994202E-19,0,0,0,0.00283590714079141,1.58449114328455E-07,7.08597116247072E-26,4.46851576450792E-23,2.69919583243165E-07,-2.071081492976E-24,1.38027104044293E-07,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link22.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link22.STL,,link2-2,Coordinate System9,Axis1 <link2-2>,Joint22,revolute,0.08,0.004,0,0,0,0.6544,Link12,0,0,1,100,100,-1.57,1.57,,,,,,,,
Link33,0.042,-8.40497157636455E-09,0.0299999999999998,0,0,0,0.0115483860896403,5.72454936139628E-06,-8.33798057453452E-22,-6.05605579279738E-06,1.2540943263813E-05,-3.45451170515669E-23,6.99727115654008E-06,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link33.STL,1,1,1,1,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link33.STL,,link3-3,Coordinate System16,Axis1 <link3-3>,Joint33,revolute,0.02,0,-0.0088,-1.5708,-0.0047619,0,Link22,0,0,-1,100,100,-1.57,1.57,,,,,,,,
Link34,0.0419999999999999,-8.404971579834E-09,0.0299999999999993,0,0,0,0.0115483860896402,5.72454936139627E-06,1.52201232709757E-22,-6.05605579279736E-06,1.2540943263813E-05,1.59464485173239E-22,6.99727115654007E-06,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link34.STL,1,1,1,1,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link34.STL,,link3-4,Coordinate System17,Axis2 <link3-4>,Joint34,revolute,0.02,0,0.0088,-1.5708,-0.0047619,0,Link22,0,0,1,100,100,-1.57,1.57,,,,,,,,
Link13,0.0357863030831948,0.00353814176684442,-6.64487225660038E-10,0,0,0,0.0160417853287394,2.4887068585687E-06,-2.66018885598105E-07,1.81074686738213E-12,1.11130612291245E-05,4.39370755249739E-13,9.11871591485151E-06,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link13.STL,1,1,1,1,0,0,0,0,0,0,package://bluebody-urdf/meshes/Link13.STL,,link1-3,Coordinate System4,Axis1 <link1-3>,Joint13,revolute,0.0279,0.0395,-0.040325,-1.5708,0.91672,1.5708,base_link,0,0,-1,100,100,-1.57,1.57,,,,,,,,
